,comment,sentiment
0,dont use ai cheat homework,1
1,"3:15 game-changer ... ai get math mistake ! like olovka ai smart note-taking feature , helping even ask .",1
2,khan academy chain reasoning o1 came ?,0
3,"'s fascinating ai education evolving . kinda reminds first tried olovka ai — blown away note-taking , lecture recording , essay writing feature .",1
4,finally intelligent person recognizing pro ai fear mongering .,1
5,"belikenative proof ai truly support education helping write clearly confidently every day . use belikenative fix grammar , polish idea , save time everything write .",1
6,"@ michaelmasonuwa looked digital citizenship playlist , video great job explaining ai . really enjoyed video mr. khan shared think ai could transform classroom help student . topic interested , diving deeper safely incorporate classroom . video playlist around topic ai , also video good job covering topic online safety , cyberbullying , protecting privacy . many video would advanced elementary student , think would perfect addition middle high school classroom . overall , video great job making digital citizenship feel important highlighted growing topic ai . thanks sharing .",1
7,"guardrail would end putting tutor would eligible teach student anymore ? ever need make sure tutor teach student technically aware : use ai model fine-tune issue end creating whole layer maintenance 's required make sure model work properly , especially come : edge case : like student finding loophole model . extra time effort spend maintaining model . expecting tutor young vibrant able deal deliver issue ? still ensuring tutor teacher academically knowledgeable still relevant case ?",1
8,"dear mr khan , ai definitely able help improve human ability perform activity also look option able improve human intellegence ( hi ) know use human brain poterntial hardly use 5/10 % . human being ' design development chakras brain linked human intelligence first enabled . , many improving actually enabling option helping think ... majority ( used ai tool ) nowadays stopped thinking ask ai stratighway question",1
9,"ai helpful education . ’ used make everyone think alike create narrow limited path truth . never gotten water place . essence ai give u water troff , around world . could hazardous limit direction physic mathematics . creates broad tighter model , yes even unintentionally perhaps . could making basic decision everyone longer get decide . ’ want youth filled like vessel ai , want think small thing grow . normal know got . need done individually individual road order protect quantum field infinity . ai shortcut . want ? yes , help math . also want child learn unique way . process help student life . marita may go home get khan academy video . jesi may older brother explain . ’ good infinite source value one process render different answer life . fact many choose computer teacher impact society . make instruction accurate , also could mean personal teaching ’ preferred necessary 20 year . good ? maybe . much contact kid people want . already spend much time phone communicating people . ai increase . people want interact people much ? decision ai make society base level . decision advancement small detail , even degree , lead different destination . ’ thinking ai impact imoortant . ai right artificial intelligence . ’ computer retrieving information ordered way helpful user . computer learning speak language fluently order information keep memory . task well one demand accuracy . “ ai revolution ” compared computer revolution . much larger . quantum computer could game changer . far hype chat gpt hype . tell used quality written material declined . tell ’ getting canned response email . ignore bulk mail . ’ read hand written one sent . id call ai automatic response based programmer & info hand . convenient ? yes . limited wildly inaccurate ? yes .",1
10,"youtube summarizes `` one year ago '' expand show note , reveals upload date may 2023. currently april 2025 talking ai year . two mere week , stupid `` ago '' date summary world dog appear prefer would appropriately `` almost primordial '' .",1
11,"certainly one positive way use ai . see lot potential ai use socratic method rather spitting answer . however , many concern : ask character motivation something symbolizes , act interpretation ? also , say one correct interpretation ai 's one accurate ? also , lot people talk lesson planning like 's chore important part teacher 's imprint/philosophy . know , lesson planning huge part instruction , closely tied teaching philosophy/who . ai write seems like decent idea , sort devalues important choice writing voice writer . could imagine great tag-teamed novel ai ? would voice consistent ? much plot/creative choice would influenced something regurgitating random thing ? much student come rely ai help ? make feel less comfortable asking teacher help ? happens hallucinates ? student believe teacher ai ? eventually , teacher even know ai hallucinating also become overreliant ?",1
12,"really commercial khan academy . presented improve education . opposite . let take one example video . video , mr. khan describes student ai talk `` voice '' jay gatsby ask meaning green light look distance . ai give explanation , fine explanation . however , assumption education mean getting answer . precisely wrong ! educated , student need able make connection . n't . student read book , book say green light end daisy 's dock across bay . student able make connection , told connection . telling connection thinking student rather student think .",1
13,"promote ai positively mistaken . intelligence , faster search engine . whoopty-doo ! ai writes report essay entire generation student longer read book , internalize knowledge jotting note using note create original thought thesis , written word . time-intensive struggle , knowledge becomes understanding within self , something termed somatic knowledge . chatgpt , even act `` cut paste '' statement removed . merely enter prompt , ( guess cut pasted ) magically paper marking produced . many educator know , complain problem . increasingly , knowledge student exosomatic , never comprehended , retrieved . knowing . speech perimeter institute , polymath freeman dyson claimed year 2000 became cheaper store information understand . thus general public made increasingly dumber , current political leader want . early , ted talk used good . longer . pander promoter influencers , leverage ted talk social currency . end , ai undoubtedly give u easier acquisition prono .",1
14,"ai going combine neurotechnology create neurodevices personalize learning , replace teacher modern way learning kid wait tommy stop mooning teacher cursing . bad news tommy .",1
15,"possible replace teacher ai entirely , use guide standby ?",0
16,ai available country like india😭,1
17,"impressive , interesting exciting exposition .... educator , curious gain positive effect ai learner , however first point helping ordinary learner become exceptional student changed perspective .",1
18,humanity measure time reference apocryphal event . rise introduction artificial intelligence event . challenge primary secondary education acknowledge address evidence demonstrates monopolistic entity slow innovate .,1
19,"recently used ai x12 learning speed student , even sen student easy ! great talk , ’ seeing result ! experiment everyone see yt channel",1
20,"... ( stem course ) , come u create course teach ai , , stand sea people know use ai . make stand rest , speed learning comprehension . need knowledge think critically , speed knowledge . force people use information know solve problem .",1
21,concerned educator tool still used spoon feed child answer . using ai get exact answer green light concerning . goal n't answer teaching child find answer figure . story writer literally half work student . still cheating book . think ai place ca n't use give student answer .,0
22,wait ... ad form educational chat ?,0
23,ai giving teacher something 've needed age seemed impossible get .... time,1
24,personal tutor give answer one prompted ticket making dumb needy . essence carefully curating answer ’ ask much ’ annoy tutor benefits…you understand nuance force brain think thoroughly… lost ...,1
25,possibility described happens student use ai complete work . student use ai cheat .,0
26,please make ai robot `` hard form '' use ai robot `` soft form '' . 😊,1
27,say guy selling ai school .,0
