,publishedAt,author,comment
0,2025-05-28T00:14:34Z,@Cheyanne8_.8_.8,With regulations.
1,2025-05-27T12:04:40Z,@crepalda,Valeu!
2,2025-05-27T04:31:20Z,@dasiudoi,i think what sal misses is how ai isn't just an incredible teacher but it is incredible at everything. it is going to replace us at everything. i dont know what teachers will prepare us for in the future but I bet it wont be about being a productive citizen and a good worker because there will be zero jobs that ai doesn't do better than us.
3,2025-05-21T08:26:00Z,@Ososwbx72,11
4,2025-05-18T18:39:29Z,@Honey.bunny12355,2 years since your ted talk and you are still to come to India. What are you doing Sal? Only show off?
5,2025-05-18T13:26:08Z,@ludwigvonn9889,"Hey Sal, what did you name your kids? My daughter is Khany, my son is Khano, my newborn is Khanmini. This guy has an ego size of an ocean lol"
6,2025-05-17T14:59:53Z,@begawanguru,Terima kasih telah berbagi.
7,2025-05-17T01:10:09Z,@MUI-drip-Goku-20,i dont use ai to cheat homework
8,2025-05-16T17:48:10Z,@JimmyYates738,"3:15 was a game-changer... AI that gets math mistakes before you do! Just like Olovka ai smart note-taking feature, helping you before you even ask."
9,2025-05-15T22:01:15Z,@angelasmith7830,"Ah yes, A1."
10,2025-05-15T14:56:05Z,@munroresearch,Khan Academy was doing chain of reasoning before o1 came out?
11,2025-05-09T13:15:21Z,@riciphariss107,"It's so fascinating how AI in education is evolving. Kinda reminds me of when I first tried Olovka AI — I was blown away by its note-taking, lecture recording, and essay writing features."
12,2025-05-08T13:04:56Z,@begawanguru,Thank You your idea.
13,2025-05-01T11:20:48Z,@Bronco541,Finally an intelligent person recognizing the pros of AI and not fear mongering.
14,2025-05-01T02:18:23Z,@nathansmith22,Sal is my hero.  He saved me from giving up on some of my classes in College.
15,2025-04-30T08:58:21Z,@IsaiahWaswa-q8n,"BeLikeNative is proof that AI can truly support education by helping me write clearly and confidently every day. I use BeLikeNative to fix grammar, polish ideas, and save time on everything I write."
16,2025-04-27T20:57:06Z,@RebeccaKPeyton,"@MichaelMasonUWA I looked at your digital citizenship playlist, and your videos do a great job of explaining AI. I really enjoyed this video and how Mr. Khan shared how he thinks AI could transform the classroom and help students. This is a topic I am interested in, and I am diving deeper into how I can safely incorporate it into my classroom. Most of your videos in your playlist were around the topic of AI, but then you also had videos that did a good job covering other topics such as online safety, cyberbullying, and protecting your privacy. While many of your videos would be too advanced for my elementary students, I think they would be a perfect addition to any middle or high school classroom. Overall, the videos did a great job of making digital citizenship feel important and highlighted the growing topic of AI. Thanks for sharing."
17,2025-04-26T05:47:06Z,@bigjaw93,"what guardrails would you end up putting for the tutors who would be eligible to teach these students anymore?
Because now more than ever we need to make sure that the tutors that teach the students are technically aware of:
how to use AI models
how to fine-tune them should there be issues with it

That ends up creating a whole layer of maintenance that's required to make sure that these models work properly, especially when it comes to:

Edge cases: like a student finding a loophole to the model. 
Extra time and effort spend in maintaining these models.

Are we expecting all of these tutors to be young and vibrant and to be able to deal with the I can deliver these issues?
Are we still ensuring that the tutors or the teachers that are academically knowledgeable are still relevant in this case?"
18,2025-04-24T19:03:15Z,@l.t.l.tutoringcentral1622,Very interesting. 🙂
19,2025-04-22T10:05:25Z,@suhadahmed6233,Science made easy and interesting. Great topics every time.
20,2025-04-19T22:49:35Z,@domenico_ginny6164,Our education system can keep up with the times. The structure of wducation needs to change
21,2025-04-17T23:19:26Z,@workingTchr,"3:13 ""It's able to divine what is probably the misconception in that student's mind"". I don't think so.  It's articulating how the student's answer is imperfect, which is not the same.  To be an effective tutor, we have to first train AI to understand how people think rather than just how to solve problems.  The great difficulty with this is what will AI have to _learn from_ ?  Unless we find some way to train AI how humans think, (or until AI acquires sentience, and with that, presumably, empathy), I think it'll be a long way from being the sort of effective tutor that Sal Khan envisions."
22,2025-04-17T20:57:17Z,@ZaneMouakket,3:50 well in the comments of the code it says it's a cloud...
23,2025-04-16T20:07:52Z,@koeigerworthams8658,So this means the Paraeducators and the college tutors jobs will be taken away.
