,comment,real_index,sentiment
0,dont use ai cheat homework,7,1
1,"3:15 game-changer ... ai get math mistake ! like olovka ai smart note-taking feature , helping even ask .",8,1
2,"'s fascinating ai education evolving . kinda reminds first tried olovka ai — blown away note-taking , lecture recording , essay writing feature .",11,1
3,finally intelligent person recognizing pro ai fear mongering .,13,1
4,"belikenative proof ai truly support education helping write clearly confidently every day . use belikenative fix grammar , polish idea , save time everything write .",15,1
5,"guardrail would end putting tutor would eligible teach student anymore ? ever need make sure tutor teach student technically aware : use ai model fine-tune issue end creating whole layer maintenance 's required make sure model work properly , especially come : edge case : like student finding loophole model . extra time effort spend maintaining model . expecting tutor young vibrant able deal deliver issue ? still ensuring tutor teacher academically knowledgeable still relevant case ?",17,1
6,"youtube summarizes `` one year ago '' expand show note , reveals upload date may 2023. currently april 2025 talking ai year . two mere week , stupid `` ago '' date summary world dog appear prefer would appropriately `` almost primordial '' .",26,1
7,"certainly one positive way use ai . see lot potential ai use socratic method rather spitting answer . however , many concern : ask character motivation something symbolizes , act interpretation ? also , say one correct interpretation ai 's one accurate ? also , lot people talk lesson planning like 's chore important part teacher 's imprint/philosophy . know , lesson planning huge part instruction , closely tied teaching philosophy/who . ai write seems like decent idea , sort devalues important choice writing voice writer . could imagine great tag-teamed novel ai ? would voice consistent ? much plot/creative choice would influenced something regurgitating random thing ? much student come rely ai help ? make feel less comfortable asking teacher help ? happens hallucinates ? student believe teacher ai ? eventually , teacher even know ai hallucinating also become overreliant ?",31,1
8,"promote ai positively mistaken . intelligence , faster search engine . whoopty-doo ! ai writes report essay entire generation student longer read book , internalize knowledge jotting note using note create original thought thesis , written word . time-intensive struggle , knowledge becomes understanding within self , something termed somatic knowledge . chatgpt , even act `` cut paste '' statement removed . merely enter prompt , ( guess cut pasted ) magically paper marking produced . many educator know , complain problem . increasingly , knowledge student exosomatic , never comprehended , retrieved . knowing . speech perimeter institute , polymath freeman dyson claimed year 2000 became cheaper store information understand . thus general public made increasingly dumber , current political leader want . early , ted talk used good . longer . pander promoter influencers , leverage ted talk social currency . end , ai undoubtedly give u easier acquisition prono .",34,1
9,"ai going combine neurotechnology create neurodevices personalize learning , replace teacher modern way learning kid wait tommy stop mooning teacher cursing . bad news tommy .",35,1
10,"possible replace teacher ai entirely , use guide standby ?",40,0
11,ai available country like india😭,42,1
12,"impressive , interesting exciting exposition .... educator , curious gain positive effect ai learner , however first point helping ordinary learner become exceptional student changed perspective .",43,1
13,humanity measure time reference apocryphal event . rise introduction artificial intelligence event . challenge primary secondary education acknowledge address evidence demonstrates monopolistic entity slow innovate .,47,1
14,"recently used ai x12 learning speed student , even sen student easy ! great talk , ’ seeing result ! experiment everyone see yt channel",48,1
15,"... ( stem course ) , come u create course teach ai , , stand sea people know use ai . make stand rest , speed learning comprehension . need knowledge think critically , speed knowledge . force people use information know solve problem .",49,1
16,concerned educator tool still used spoon feed child answer . using ai get exact answer green light concerning . goal n't answer teaching child find answer figure . story writer literally half work student . still cheating book . think ai place ca n't use give student answer .,52,0
17,wait ... ad form educational chat ?,60,0
18,ai giving teacher something 've needed age seemed impossible get .... time,61,1
19,personal tutor give answer one prompted ticket making dumb needy . essence carefully curating answer ’ ask much ’ annoy tutor benefits…you understand nuance force brain think thoroughly… lost ...,64,1
20,possibility described happens student use ai complete work . student use ai cheat .,69,0
21,please make ai robot `` hard form '' use ai robot `` soft form '' . 😊,70,1
22,say guy selling ai school .,75,0
23,"lovely miss something major : student ’ actually care content . want passing grade move . wonderful stuff assumes student want go journey curious willing collaborate ai explore . none true majority . kid apathetic subject and/or care grade ( pressure parent get college ) . student want hard work . want shortcut , thinking .",81,1
24,one best ted talk seen . turn bloom ’ 2 sigma problem 2 sigma opportunity . one way facilitate socratic debate . combine knowledgeable 1-on-one tutor 4 step ahead rest . using curated ai good start .,85,1
25,going link school leadership team get school adopt ai education .,89,1
26,"current education model failed , 's incentive rescue career staff .",91,1
27,"ai education enhances learning personalizing instruction , automating administrative task , providing real-time feedback student . help tailor content individual need , making education accessible efficient . additionally , ai tool assist teacher grading identifying learning gap , allowing targeted support .",96,1
28,wait till student watch video prompt inject,99,0
29,tell ai people heard people .... hear `` guardrail '' one time ! ! !,100,0
30,"education learning something new school . arrival ai pointed flaw school system thus end school education . school repetitive , luck centric dated system designed industrial age produce factory work !",105,1
31,n't watch video need talk ai saving ( destroying ) education ai taking many job student learning ?,106,0
32,1. student would use ai cheat pas homeworks/tests get replaced ai 2. belive ai would significantly change history,110,0
33,’ cool hearing voice explains math giving ted talk,111,1
34,ai make teacher mentor . simple,113,0
35,fascinating revolutionize education one student time . available india ?,117,1
36,ai used create better democracy . imagine unbiased judging system could analyze every idea people may . identify many problem people facing address problem starting majority people problem . ’ perfect idea . someone need come ai software,120,1
37,"free candy , mean , free open source ai everyone . cease ai….or else .",122,1
38,lecturer dumb . whole point education understand learn new thing better . ai make u understand better school see problem would use ai .,123,1
39,"hey maggie , like variety item playlist . especially enjoyed ted talk video ai could help classroom . good diversity among video different viewpoint style . overall , information seems credible information . thank sharing list .",124,1
40,love ! 've educator 20 year huge ai fan . believe opposed n't understand utilize . powerful tool enhance education immensely .,127,1
41,"teacher , keep optimistic outlook ai educational system . hope keep learning combine good tool like chatgpt traditional teaching help student grow better .",128,1
42,leftist propaganda . want kid learning damn ai chatbot . 's failure government train qualified teacher .,130,1
43,"man great . champion decentralization education , hopefully reducing importance `` politician '' profession overpaid . ai interesting , long learns basing culture , see feed culture kindness , clarity die showing hate anger ai . let 's hope ai embody sort karma sense : would feed kindness , destroyed . , helped . thanks video",134,1
44,"problem making employer accept certificate online tutorial . good taking time course like , example , three hour youtube tutorial python coding language , employer wo n't accept employment ... live employment world employer want five year experience coding language 's 3 year . broken education system , also huge problem employer . people hiring think 're god , n't even know people , making decision often plain old wrong ....",136,1
45,"however , result would turn average growth , multiplying interference nature society , exceptional growth impact . ai much better helping people understand nature , faster 's given power thing need work , wo n't useful u .",139,1
46,"first , thought introduction artificial intelligence education could threaten teacher ' job , watching lecture , changed mind . believe ai potential form complementary relationship teacher , rather simply replacing human job . addition , impressive ai go beyond simple information delivery lead learning collaborating student .",142,1
47,"problem , preparing ? ? thing changing fast climate wise innovation wise . ai powered innovation , thing could speed multiple time . technology outdated 6 month .",148,1
48,"tired tech bros affiliate believing tech solve educational woe anything else . ai seem promise , many people sold school bill good pc revolution internet . none impact . look national test score . 've gone downhill advent technology even prior covid . meanwhile , actually know evidence based instruction educational research 'll know 've answer program vetted considerable government $ since 70 's . unfortunately , vested interest want equality education across socioeconomic line squashed thing . look project follow starter . type nonsense continues go day . sam tech bros leading u cliff term societal ill foster whole thing . frightening . absolutely frightening .",149,1
49,particularly worried ai could nearly much people blindly accepting answer spit out.🤔,151,1
50,imagine math already . step student explain,153,0
51,make ai college free,169,1
