,publishedAt,author,comment
0,2025-05-20T03:27:03Z,@KelvinOwusuboakye-q1i,Brahim
1,2025-05-19T00:40:09Z,@vanessagarcia9543,Brahim
2,2025-05-18T22:17:53Z,@coronalime6777,Only fools would think that Modric was to blame. Brahim was never this lost and out of place in one match. There was simply not one thing that Brahim did right in this match. Strange
3,2025-05-18T15:21:45Z,@saiqaahmed3372,It is no one's fault because before each match the water the pitch and everyone knows modric has the best passes in real madrid now
4,2025-05-18T08:07:16Z,@mwesigwasam6766,sell brahim
5,2025-05-18T06:47:22Z,@simmyzonela4921,Brahim diaz
6,2025-05-18T01:43:39Z,@EjaraGobena,It was brahim
7,2025-05-17T20:01:43Z,@VictormosesSunday,Y’all should sell Brahmin
8,2025-05-17T19:53:09Z,@addydinanga2007,Yeahh it's brahim fault he wouldn't just pass the ball 🙄 😒 😏
9,2025-05-17T15:03:29Z,@KevinManyisaJr,It's Brahims fault 😢😢😭😭😢🥲
10,2025-05-17T14:52:57Z,@ttsxcjkgvfghbv,Brahim
11,2025-05-17T12:36:34Z,@sitikhadijahmahmud,brahim
12,2025-05-17T07:53:04Z,@Daryan_footballZYK,It was ibrahims fault for not getting it
13,2025-05-17T06:27:14Z,@i_like_edits123,🚡🚡🚡🚡🚡🚡🚡
14,2025-05-17T06:08:21Z,@RAFandJAYZplaysss,Bro its brahim fault cuz he didint attack the ball
15,2025-05-17T01:19:42Z,@WwCh-d9u,Brahim slipped and had one of  his worst matches  for Madrid
16,2025-05-17T01:17:07Z,@WwCh-d9u,Poor modric
17,2025-05-17T01:16:02Z,@WwCh-d9u,That mean real gonna win 4vs3 just one people cause all the trouble
18,2025-05-16T22:44:14Z,@NeelKC,Brahim
19,2025-05-16T21:42:28Z,@naoualriad8469,"Brahim's problem😂,Koundé is the best"
20,2025-05-16T18:50:39Z,@EvanMousty,It’s not any of there’s faults we need to stay positive and make chances Hala Madrid ❤
21,2025-05-16T07:15:29Z,@harismois5203,The truth is that Barcelona is better
22,2025-05-16T03:15:12Z,@Dripz-l8b,It was not modric
23,2025-05-16T03:15:05Z,@Dripz-l8b,Brahim just sucks
24,2025-05-16T02:05:07Z,@steffennielsen9968,Zi blame brahim
25,2025-05-16T01:45:29Z,@gelanetesfaye7570,Brahim!!!!!!!!
26,2025-05-15T19:24:46Z,@HalimGashi-e4b,Brahim is the domes Player in the World and Brahim now am e Bayer 04 Leverkusen ❤
27,2025-05-15T07:13:36Z,@khabylame4887,Brahim for sure
28,2025-05-14T21:59:27Z,@Ivankaariho8503,Brahim😢
29,2025-05-14T16:50:06Z,@MayaZielinski123,Brhim should nevervwait for the ball
30,2025-05-14T14:58:01Z,@jedidiah032,brhamy
31,2025-05-14T14:41:58Z,@LucianaRubio-m4d,No brahim wwwwwhhhhhhyyyy😤😠😡
32,2025-05-14T09:50:03Z,@LAVADRAGON-c6p,Brahim is the wors player ever
33,2025-05-14T06:32:00Z,@rachaelgreen952,Brahmin
34,2025-05-13T14:27:27Z,@lohithaavula,Brahim
35,2025-05-13T10:30:07Z,@AceLivrinski,Brahmin
36,2025-05-13T02:48:31Z,@JyotiKatuwal-s3w,Barhim
37,2025-05-12T20:49:52Z,@YzMallu,Bro i was screaming top of a tounge for brahim to pass it to adra and he did a shot like the Alvarez penalty slip like bruh pass the god damn ball
38,2025-05-12T18:44:54Z,@marthaopoku5118,Brahim. He could have pass to arda 2 times and when modric pass to brahim he could have run and take the ball
39,2025-05-12T18:15:31Z,@leonjelincic2725,"Brahim,Brahim,Brahim,Brahim,Brahim
Brahim was rong Modrić is from my country and iven if he might be a little older than the other's he is still playing at such a high level of FOOTBALL and he is one of the best midfilders of all-time in FOOTBALL then he gives a great pass to Brahim and then Brahim just stayed still over there and did nothing RIGHT while Modrić did anything RIGHT and then everyone is blaming Modrić which I totally  disagree who is with me?
👇🙏"
40,2025-05-12T17:22:54Z,@KeydoDodo,Brahim is shellfish
41,2025-05-12T14:01:21Z,@Inocent2024,Brahim is egoist to arda
42,2025-05-12T11:45:44Z,@Pro_noxy777,Brahim
43,2025-05-12T07:10:09Z,@monstertruckchannel9464,wkwkw get his ass from madrid for sure 😅
44,2025-05-11T19:25:54Z,@paulonnechocetene1193,I’m am Barcelona fan I’m happy that they won
45,2025-05-10T13:36:16Z,@ramazanalperenak,Brahim diaz  fault never Modric🫡
46,2025-05-10T11:11:06Z,@brendamalembaformanji4132,It's brahim's fault
47,2025-05-10T10:28:14Z,@TodorKocevski-k9o,😂viska Barsa
48,2025-05-10T09:46:13Z,@JusufSylejmani,Fault
49,2025-05-10T09:46:06Z,@JusufSylejmani,Brahim should pass to Arda and Modrič its his
50,2025-05-10T04:18:39Z,@Αριστοτέλης-ζ4ξ,Brahim slip
51,2025-05-09T18:42:19Z,@hichammejane2858,Look with all respect( i am a madrid fan) the coach entered brahim last minute and some ppl really expect for him to not commit errors throughout the match and score goals.. anyways barca lost and none of them won the trophy
52,2025-05-09T16:57:27Z,@JoseleneVictor,Braimn
53,2025-05-08T15:34:04Z,@danijelhrup9715,"Everybody that played a profi football or soccer knows - you always attack the ball, you never wait for it... When Modric came in the game it was 1:0 for Barca, Real scored two goals, Modric tottaly changed the game and than that stupidity of giving away goals... Those goals came from such a stupid reactions...
Look at the first goal of Barca, that's a Jude's mistake..."
54,2025-05-08T08:15:31Z,@fieldworakorn2794,brahim
55,2025-05-08T07:29:30Z,@mariopsenicnjak-lc9vu,Visca Barca
56,2025-05-08T07:29:21Z,@mariopsenicnjak-lc9vu,Brahim
57,2025-05-07T15:44:11Z,@The.speicher_avenger,Vardrid'$ number 21
58,2025-05-07T15:37:17Z,@robertcimpoi9514,Brahim is trash
59,2025-05-07T04:13:16Z,@Fotballer07,Brahim
60,2025-05-07T00:04:02Z,@jackie3374,Brahim is Soo bad that he did to seat and never play for Madrid he has to go to man united
61,2025-05-06T23:41:40Z,@ndukulusudikucho_,Both
62,2025-05-06T16:20:16Z,@SayedarifHashimi-vg8kc,Brahim
63,2025-05-06T14:19:44Z,@thetigers7777,We don't care! We beat them and won the trophy😂
64,2025-05-06T13:48:47Z,@MatejKomšo,Brahim
65,2025-05-06T13:36:45Z,@Karamsuryt,Brahim and Modric
66,2025-05-06T07:46:46Z,@Kristen-lc8lv,B
67,2025-05-06T03:20:04Z,@radhikaram8392,"It's a mistake of all the team members 
Not one player"
68,2025-05-06T01:16:30Z,@דינהכהן-ד6ד,You can’t disrespect Modrić it was all Brahim’s fault
69,2025-05-05T21:04:24Z,@HaydeeVentura-y1h,Modrich is his fault and worst
70,2025-05-05T09:35:35Z,@Shadow-rv6iq,Brahim
71,2025-05-05T09:04:28Z,@humaimazaheer7862,It’s brahim’s fault bcz he didn’t pass to arda and iam a Barcelona fan
72,2025-05-05T08:53:37Z,@51shonshinde8d9,Brahim
73,2025-05-05T07:43:14Z,@Dekoningboys,Brahim
74,2025-05-05T05:25:30Z,@hardikjain4086,Bro this year Madrid can only dream to defeat Barcelona
75,2025-05-05T00:35:15Z,@teresang4827,Brahim Diaz
