,publishedAt,author,comment
0,2025-07-04T11:13:26Z,@Zea-bt7nn,"Keburukan mulyono pelan"" menumpuk 😂"
1,2025-07-04T07:46:48Z,@kiyarevinalisya,Satu persatu runtuh kedinastiannya.dari sederet mantan presiden.hanya dia yg baru pensiun lgsg dpt byk masalah.kini sudah mulai terbuka.
2,2025-07-04T05:46:36Z,@cuwiwie8743,"Rakyat sdh tau ,klu hukum g tebang pilih,coba buktikn pnegakkn hukum kyk dicina."
3,2025-07-04T04:37:19Z,@ringgorusmayadi2809,"Inilah contoh kebijakan  pemimpin yg dungu dan dongo,.. semua kebijakan dan keputusan ada di tangan pemimpinnya,. sekarang dia mau menyalahkan dan menjerumuskan mantan bawahannya dgn alasan bla dan bla,.. bawahan yg bermasalah tapi selalu manut dgn segala keinginan dia maka akan aman² bae,..sering terjadi  terhadap semua bawahannya yg dijadikan terdakwa karna si pemimpinnya dungu dan dongo,.."
4,2025-07-04T03:10:22Z,@Benindriyana,"Blunder lagi. Kasus yg itu blm selesai muncul kasus baru. Ya allah pak harusnya masa pensiun mu damai bersama org"" tercinta. Tapi mau apa, setiap yg menabur akan menuai."
5,2025-07-04T02:05:07Z,@AbdulRohman-j3r8d,Biarpun di perintah jokowi semua kebijakannya yg melanggar tapi si jkowi tetap tidak tersentuh
6,2025-07-04T00:53:56Z,@mtaufiqfadholi8492,Biang keroknya sudah jelas
7,2025-07-03T23:29:12Z,@RahmatHidayat-gd4mc,Wi wok de tok
8,2025-07-03T20:09:38Z,@fitriatihf1744,"Impor seperti itu udh pasti dg sepengetahuan Presiden kan..? Kalau presiden acc bisa dilajut, gtu ga sii 😂"
9,2025-07-03T19:43:52Z,@huntinggaming454,"Jokowi sbnr ny buka suara , KLO impor gula itu perintah dia.. senang di atas penderitaan orang."
10,2025-07-03T18:31:07Z,@nagake1089,"Jokowi sudah terkena ranjau sendiri , klo mmang atas perintahnya"
11,2025-07-03T14:41:56Z,@aregoodardiansyah5372,"Perintah Presiden kepada bawahannya di suruh kerja, bukan di suruh korupsi"
12,2025-07-03T10:10:17Z,@andryardhana6642,"Impor jor2an tapi ngutang, Jokowi pensiun utangnya lunas belum itu?"
13,2025-07-03T07:33:44Z,@DeaAgustin-x6i3q,Tapi kenapa Jokowi ko ga di tangkap
14,2025-07-03T06:17:24Z,@FaidahZamzamiyati,Allah sdng membuka kebobrokan jokowi satu persatu
15,2025-07-03T05:52:46Z,@widikurniawan8244,Irang waras pun tahu..kebijakan pemerintah semua atas perintah atau approval presiden....senjata so mukidi  kalau ditanya .saya gak tahu .tanya saja sama menterinya😂😂😂😂...
16,2025-07-03T05:10:49Z,@mrdedy7483,Alhamdulillah kalau memang salah demi keadilan dan kebenaran harus ikut terseretlah biar hukum berlaku kepada siapa saja yg ikut salah 🤲🤲🤲
17,2025-07-03T05:00:18Z,@EndangPoetriie27,"TERMUL MANA YA,,,, NTAR ORANG JUJUR KATANYA FITNAH,KITA BENCI PEMIMPIN ZHOLIM,PEMBOHONG, RAKUS,MUNAFIK NANTI KITA DI BILANG PASUKAN SAKIT HATI,,, WOY TERMUL KAPAN LHO AKAN SEMBUH DARI BUTA MATA, BUTA HATI,TULI DAN BISU😂😂😂😂😂 ALLAHUAKBAR TUNJUKKAN PADA SEMUA UMATMU BAHWA MEREKA BUKAN APA"" DI DUNIA INI😊😊😊😊😊"
18,2025-07-03T04:44:18Z,@raihangio202,Jabatan + duit bener bener berkuasa sungguh gila 🔥
19,2025-07-03T04:27:05Z,@DyasMaulana,Pasti lah perintah presiden ke 7 monyet 🐒
20,2025-07-03T04:17:30Z,@Ida-i1y,"Majikan cari selamat pembantu2nya dikorbankan, enak banget perintah2 dari atasan terus habis perintah tdk tanggung jawab😂😂😂"
21,2025-07-03T03:28:55Z,@mrdedy7483,Alhamdulillah yg salah harus bertanggung jawab demi pemerintahan yg benar dan tdk korupsi 👍🤲🤲
22,2025-07-03T03:18:06Z,@bangulya5963,USUT TUNTAS KASUS INI
23,2025-07-03T02:31:01Z,@TamaYo-zj9zd,"Mana berani hakim persidangan panggil mulyono , takut kalo di copot jabatan nya"
24,2025-07-03T02:09:46Z,@manoarpan4975,Setiap kasus jokowi  lagi  jokowi lgi jahat banget ini ya Pk persiden
25,2025-07-03T01:06:10Z,@trihadi3696,KASIHAN...TOM..LEMBONG..DI KORBANKAN....GA MUNGKIN YANG DIATAS TERSERET..MESKI PERINTAH  DIA...KLO MILITER KOMANDA YANG TANGGUNG JAWAB..BEDA KAN..SIPIL ???
26,2025-07-03T01:01:59Z,@andreashoey5377,"Jokowii lagii 😂
Diliat dimuka aja udah keliatan bejatt
Gak ada aura air wudhu nya"
27,2025-07-03T00:47:29Z,@manganawan,Jurnalistnya bilek: ehhh.. eeeeh... Ehhhh... Eeeeh...
28,2025-07-03T00:11:30Z,@wattefoc,"Itu semua dendam politik, sayangnya rakyat negara ini terlalu bodoh dan mudah dipermainkan oleh pejabat, cukup menggunakan bazer udah bisa dibodohi dan dibohongi"
29,2025-07-03T00:08:45Z,@aliminmin6893,Ikut serett yg ngasih printahhh
30,2025-07-02T23:53:01Z,@purwanto3869,gantung penipu rakyat
31,2025-07-02T23:35:55Z,@maesamaesa6418,"Panggil dan jadikan saksi,,"
32,2025-07-02T22:33:50Z,@antoanto8995,Ingat khasus Pertamina kata Ahok ada Tangan YG Berkuasa bermain mungkin yang dimaksud (Jokowi kah)
33,2025-07-02T21:55:19Z,@ajinegoro6043,"Maling teriak maling....mental tempe
Pas Dapat duit dimakan sendiri
Giliran salah bagi bagi"
34,2025-07-02T21:30:07Z,@dadasarajah,Mulyono apa spesial nya
35,2025-07-02T20:56:19Z,@afiyowes9171,Dasar manusia serakah tamak loba benar2 pendusta. Makin tua makin edan ?
36,2025-07-02T20:39:26Z,@pedagangpinggirjalan9998,Bisa juga tom lebong nyeret jokowi...karna tekanan dr pihak roy suryo.dengan iming iming bebas ... supaya  gibran bisa dimakzulkan...
37,2025-07-02T20:28:32Z,@nyonyonkquu433,"Inilah kejahatan mulyono cara pencucian uang, semua anak buahnya dan para pengusaha ditumbalin biar hasil korupsi disita dan cara itulah anggaran trilyunan bisa lolos 😂😂"
38,2025-07-02T19:44:29Z,@HeriYanto-nl5bj,Iya tapi jangan d koropsi..wlw presiden yang suruh impor..bukan untuk d korop cukk..
39,2025-07-02T19:13:25Z,@adetyawarman9386,Saya sudah sering bilang dari dulu..adili jokowi
40,2025-07-02T17:49:48Z,@yosepherdiana9498,adili
41,2025-07-02T16:04:27Z,@rudyricardy484,Semua direktur yang terjerat korupsi adalah kambing hitam semata... aktor sebenarnya adalah mulyono
42,2025-07-02T15:10:29Z,@harrissutisna2514,"Bpk . Tom Lembong , hanya bawahan & menuruti perintah atasan ( yg tanggung jawab atasan ) jangan cuci tangan !!!!"
43,2025-07-02T15:02:54Z,@esiteacher6649,"Bapak beras mahal bapak, bapak gula, daging sapi, micin, garam semua naik bapak.... Dan pada akhirnya negeri yang kaya raya hasil buminya ini mengimpor semua mua dari luar... Pinterr"
44,2025-07-02T14:56:03Z,@krzl0547,Hampir semua masalah di Indonesia terkait sama jokowi...mmg jokowi org paling rakus di Indonesia dan paling licik paling jahat
45,2025-07-02T14:55:48Z,@krzl0547,Hampir semua masalah di Indonesia terkait sama jokowi...mmg jokowi org paling rakus di Indonesia dan paling licik paling jahat
46,2025-07-02T14:14:18Z,@laskarMartapura794,SERET DAN ADILI MULYONO
47,2025-07-02T13:25:50Z,@yuliasuryani4488,Barisan Bregodo Jogja Ukung TomLembong  Hidup maju terus om lembong seret Jokowi ke persidangan😅
48,2025-07-02T12:36:26Z,@yanifarimeco-qu3wj,Iya SDH pasti lah semua atas perintah Joko dn pengetahuan joko
49,2025-07-02T12:30:01Z,@tyaprasetyaningsih,"semangat pak Tom,, ungkap terus kebenaran , sya dukung Bpk, Alloh tidak tidur, kebenaran pasti akan menemukan jlnya,  💪💪💪"
50,2025-07-02T12:29:27Z,@Homsatun475,Panggil Jokowi pak hakim
51,2025-07-02T12:26:19Z,@Homsatun475,Wahh lg lg Joko
52,2025-07-02T12:10:58Z,@dankerpoetra2800,✅💯🔥
53,2025-07-02T12:06:03Z,@fredyahmad8854,"Peribahasa yang sangat cocok untuk mulyono ""LEMPAR BATU SEMBUNYI TANGAN"""
54,2025-07-02T11:41:00Z,@AdiRahmat-so7ev,"Aparat negara sekarang jadi kacung Jokowi semua,dari hakim kepolisian kejaksaan semua takut sama Jokowi karna Mereka berjamaah dalam korupsi hingga ratusan triliun,biang masalahnya adalah jokowi"
55,2025-07-02T11:39:36Z,@estherGbog,Tangkap mulyono
56,2025-07-02T11:37:13Z,@kubilyumnayumna8268,emang dia biang kerokyh
57,2025-07-02T11:36:55Z,@ddanks,Nanti di cubit.... Wkwkwkwk
58,2025-07-02T11:03:23Z,@MeNaraaa,"sdh di duga.pasti diera Mulyono pasti tau.😂..sabar y pak tom,sehat sll..ttp la jujur,katakan yg sebenarnya"
59,2025-07-02T10:57:29Z,@mukminmustari3119,"ayo pengadilan, apakah berani panggil jokowi jadi saksi?😂"
60,2025-07-02T10:39:06Z,@lagucoverai,Beliau sudah bukan presiden. Jadi warga sipil. Apa bisa dihadirkan sebagai saksi? *bertanya dg nada lemah lembut
61,2025-07-02T10:29:53Z,@WidaningsihWidaningsih-c3f,"memang luarrrrr biasa,,,,merusak,,,,,"
62,2025-07-02T10:16:58Z,@muhammadriyadi4577,Jngn mau masuk bui sendiri . Seret semua yg ikut mkn bersama
63,2025-07-02T10:05:01Z,@emakanak1977,Jokowi rampok APBN..!!!!!
64,2025-07-02T09:57:01Z,@heueuiehe,Periksa noh jokowo...takut sama orang jawa ye....payah....mau aja jd jongos jawir ...
65,2025-07-02T09:12:40Z,@Dedikde1234,Sayangnya Jokowi ini kebal hukum
66,2025-07-02T09:09:45Z,@akmalhidayat664,Ini kenapa kyk pada takut sama jokowi ya heran
67,2025-07-02T09:06:11Z,@DediHandoko-y2t,"Yaaaaaaah.... Jokowi,,, mecreet skrng"
68,2025-07-02T08:34:23Z,@muntobaa9201,"Semua perintah presiden, tapi jangan di koropsi dong"
69,2025-07-02T08:33:11Z,@Buahorganikmedan,Keluarga Jokowi harus di adili dan di asingkan dari bumi Pertiwi ini
70,2025-07-02T08:24:24Z,@ErwinSugara-c1l,Ayo KPK usut yg ngasih perintah jgn tembang pilih.
71,2025-07-02T08:17:19Z,@khairuzaman3727,"Ya pasti presiden tau lah...., masa Mentri impor presiden ga tau...., ini kan bukan korupsi maling atau gratifikasi, tp kerugian negara yg disebabkan kebijakan, tom Lembong nyari keuntungan dr kebijakan tersebut pun ga terbukti...."
72,2025-07-02T08:16:52Z,@desakrakapadmiani1110,Bongkar tuntas semua...koruptor bergelimpangan....bgmn rakyat tdk morat marit... menderita...gaji aparatur tdk pernah dinaikkan😢😢😢
73,2025-07-02T08:10:38Z,@oxxaoxxa098,Bebaskan Bpk Tomlembong dan tangkap jokowi karna atas perintahnya..untk impor...udah ijasah palsu koropsi lagi ehh tak beretikan...
74,2025-07-02T08:08:33Z,@TubagusSetiawinata,"Bukti nyata dgn jujurnya tom lembong, trus gimana akankah ada hukum yg adil"
75,2025-07-02T08:02:32Z,@nurbavadal5420,Semangat pa Tom
76,2025-07-02T07:40:25Z,@ikanindotv,Tom lembong itu hanya kambing hitam
77,2025-07-02T07:38:57Z,@user-pd8oi6cj8l,"Saat kondisi SDA lokal tidak bisa memenuhi kebutuhan,satu2 nya jalan keluar ya impor,tp dgn syarat sementara dan terukur, Itu gak salah, tp yg salah ketika diselundupkan atau di korupsi dan dimanipulasi demi keuntungan pribadi atau golongan saja. Dan dilakukan impor secara terus menerus tanpa upaya peningkatan produksi dalam negeri. Usut tuntas dan hukum yg pantas."
78,2025-07-02T07:22:22Z,@GumadiJaya,Kalau Abang ku Tomlimbong masuk penjara seret Jokowi agar masuk ke penjara juga
79,2025-07-02T07:20:42Z,@GumadiJaya,Bagus bongkar semua Abang ku Tomlimbong
80,2025-07-02T07:19:24Z,@aguspambudi1566,"Semua yg dikrjkn oleh mentri ya dari Presiden, tetapi klo ada Mentri yg korupsi, itu MENTRIX YG BRENGSEK."
81,2025-07-02T07:06:12Z,@bangbrore,"Saatnya serangan balik pak lembong, rakyat mendukungmu ✊🏼🔥"
82,2025-07-02T06:48:18Z,@harthart9220,Tom limbong  org  baik .jujur  dn tegas
83,2025-07-02T06:47:53Z,@Herdi-z9c,SDH UMUM BARISAN SAKIT HATI JADI LAWAN CIRI2 BUDAYA NEGRI KONOHA. GAK BISA MENERIMA KEKALAHAN. 😅😅
84,2025-07-02T06:40:54Z,@indrawahyudi1116,Sudah saya duga mulyono dibalik propaganda semua kasus org2 baik
85,2025-07-02T06:37:19Z,@SarifahFaiza-x9t,Jujur itu sederhana .bohong itu rumittt. ..
86,2025-07-02T06:08:14Z,@AndinDea-o4s,Muliyono😂
87,2025-07-02T06:02:49Z,@angestipuja6,Alhamdulillah mulai terkuak semua kerusuhan Konoha
88,2025-07-02T06:02:43Z,@DediIndeg-dl4dg,"Gaji jaksa sdh dinaikn olh presiden bahkan mencapai 280%, klau jaksa msh tdk berani menghadirkan jokowi sdh lah pecat aj tuh jaksa"
89,2025-07-02T05:46:24Z,@suciekowati3158,Ujung2nya perintah RI 1 jg srmuamasalah raja anpat dtambang nikek jg
90,2025-07-02T05:44:09Z,@abdulghoni3839,"Klo bebijakan presiden ga masalah, yg bermasalah yg korupsi yg harus ditindak tegas, namanya atasan harus membuat kebijakan."
91,2025-07-02T05:42:47Z,@fajarnih9544,Lho ndak Tau..kok tanya sayaa😂
92,2025-07-02T05:37:54Z,@barunabaruna9785,Seperti tiada hari tanpa nama itu...
93,2025-07-02T05:35:35Z,@dikiprayudi5402,Penjarakan jokowi
94,2025-07-02T05:11:48Z,@RaflyPatriot,Perintah korupsi ???
95,2025-07-02T05:10:59Z,@Irfanpouhi6000,"Hahahaaa, 😂kok mentri bisa ya ikut perintah dari presiden.. 
Nyanyiannya sangat pendek dan bikin keplek 😁😁"
96,2025-07-02T05:04:26Z,@MarcellAja-zj1bf,"Rakyat harus iklas dan tawakal, SDH kasihkan sja negara ini ke keluarga Jokowi, lelah hanya trs dengar berita kekusutan ini negara tanpa ada tindakan apa2"
97,2025-07-02T04:49:09Z,@SitiKolila-p9q,"Sikatttf pak Hakim,  udh di bocorin tuh, jgn pandang Bulu,  Jambak aja Rambutnya tarik... 😂😂"
98,2025-07-02T04:34:37Z,@BedaChandragiono,"Naahhh kan ...dikit dikit mulai terbuka siapa dibalik ini smua......ampyuunnnn
Sebagai terdakwa smua hrs brani berbicara secara gamblang/ terbuka ......ga enak dibawah enak diatasan.......parahhhhh"
99,2025-07-02T04:32:22Z,@opiebhagas2705,Waduh jokowi terimpa masalah gak habis habis. 1 blm selesai dtg masalah baru.
100,2025-07-02T04:30:04Z,@tryit7813,"Emang ga beres ini jokowi, tidak matang utk jd presiden, cuman ngebet aja dl"
101,2025-07-02T04:12:41Z,@AnsariIsmailManda,MANA BERANI KPK PANGGIL JOKOWI
102,2025-07-02T04:11:24Z,@rofandwi222,"Ya iyalah orang Mentri kan pesuruh presiden, Mentri bergerak atas komando presiden"
103,2025-07-02T04:09:14Z,@shimbaimbaimba4613,😂
104,2025-07-02T04:09:01Z,@yudiprima8691,Mas anis mas anis😂
105,2025-07-02T03:20:49Z,@ceffichep,Wkwkwk selamat menikmati hukuman dan list sepanjang sejarah orang² korup. Apapun alasan lu.  Lu tetep korup. Lembb lembbb . Wkkwkw
106,2025-07-02T03:07:19Z,@anggodobetch666,"wkowko katanya stop import gula,beras,kedelai"
107,2025-07-02T03:04:16Z,@BDWMOTOR,"Bygkan jokowi 3 periode.. 
Gelap negri ini. 
Org org jokowi smoga bisa diadili."
108,2025-07-02T02:55:03Z,@romzahbahroji8258,"Gak ada yg percaya tom lembong, org oportunis liat aja jejak geraknya lewat istrinya, terkesan mau cuci tgn...PPATK gk sembrono..."
109,2025-07-02T02:53:47Z,@RatnaFebby-pu9gi,Hidup jokowi
110,2025-07-02T02:32:22Z,@ignatiuslisa7785,masalahnya apa toh
